,metric_type,month_dt,yellow_users,variable,value
0,transfer_data,2022-01-01,2381,share_yellow_actions,0.0164160980393153
1,transfer_data,2022-02-01,4415,share_yellow_actions,0.0173169093197997
2,transfer_data,2022-03-01,7120,share_yellow_actions,0.0200770430338116
3,transfer_data,2022-04-01,3748,share_yellow_actions,0.0146877192575541
4,transfer_data,2022-05-01,2461,share_yellow_actions,0.0119150431625897
5,transfer_data,2022-06-01,2415,share_yellow_actions,0.0096314552853405
6,no_transfer_data,2022-01-01,24104,share_yellow_actions,0.43694246010591
7,no_transfer_data,2022-02-01,40455,share_yellow_actions,0.466481740679476
8,no_transfer_data,2022-03-01,50808,share_yellow_actions,0.496767836974023
9,no_transfer_data,2022-04-01,33097,share_yellow_actions,0.437916520519116
10,no_transfer_data,2022-05-01,26927,share_yellow_actions,0.459565531166125
11,no_transfer_data,2022-06-01,23608,share_yellow_actions,0.36461426829542
12,total,2022-01-01,26485,share_yellow_actions,0.169403976506867
13,total,2022-02-01,44870,share_yellow_actions,0.177551461362898
14,total,2022-03-01,57928,share_yellow_actions,0.177587149249169
15,total,2022-04-01,36845,share_yellow_actions,0.151838627241942
16,total,2022-05-01,29388,share_yellow_actions,0.153178096212897
17,total,2022-06-01,26023,share_yellow_actions,0.111914353393555
18,transfer_data,2022-07-01,2941,share_yellow_actions,0.0155999597420394
19,transfer_data,2022-08-01,4110,share_yellow_actions,0.0352925348124683
20,transfer_data,2022-09-01,2096,share_yellow_actions,0.027002574987821
21,transfer_data,2022-10-01,767,share_yellow_actions,0.0224142843574888
22,no_transfer_data,2022-07-01,24065,share_yellow_actions,0.395789005684525
23,no_transfer_data,2022-08-01,36929,share_yellow_actions,0.535195737249353
24,no_transfer_data,2022-09-01,33216,share_yellow_actions,0.454121577369329
25,no_transfer_data,2022-10-01,15795,share_yellow_actions,0.421926910299003
26,total,2022-07-01,27006,share_yellow_actions,0.140211819199042
27,total,2022-08-01,41039,share_yellow_actions,0.280076026877811
28,total,2022-09-01,35312,share_yellow_actions,0.293226521654457
29,total,2022-10-01,16562,share_yellow_actions,0.275943744089399
30,transfer_data,2022-01-01,2381,share_yellow_sessions,0.0298036758563074
31,transfer_data,2022-02-01,4415,share_yellow_sessions,0.0315582773469138
32,transfer_data,2022-03-01,7120,share_yellow_sessions,0.0385519633184823
33,transfer_data,2022-04-01,3748,share_yellow_sessions,0.0246704164963036
34,transfer_data,2022-05-01,2461,share_yellow_sessions,0.0191905821008849
35,transfer_data,2022-06-01,2415,share_yellow_sessions,0.0151311690264916
36,no_transfer_data,2022-01-01,24104,share_yellow_sessions,0.393552859618717
37,no_transfer_data,2022-02-01,40455,share_yellow_sessions,0.416001396563648
38,no_transfer_data,2022-03-01,50808,share_yellow_sessions,0.441682843776851
39,no_transfer_data,2022-04-01,33097,share_yellow_sessions,0.379729274276353
40,no_transfer_data,2022-05-01,26927,share_yellow_sessions,0.392627039110858
41,no_transfer_data,2022-06-01,23608,share_yellow_sessions,0.303259654253032
42,total,2022-01-01,26485,share_yellow_sessions,0.202490263836323
43,total,2022-02-01,44870,share_yellow_sessions,0.210178564743758
44,total,2022-03-01,57928,share_yellow_sessions,0.2197335392933
45,total,2022-04-01,36845,share_yellow_sessions,0.171475423649168
46,total,2022-05-01,29388,share_yellow_sessions,0.164535246412976
47,total,2022-06-01,26023,share_yellow_sessions,0.11880748929732
48,transfer_data,2022-07-01,2941,share_yellow_sessions,0.0254644527395203
49,transfer_data,2022-08-01,4110,share_yellow_sessions,0.0602951294156722
50,transfer_data,2022-09-01,2096,share_yellow_sessions,0.050351141208929
51,transfer_data,2022-10-01,767,share_yellow_sessions,0.041765447667087
52,no_transfer_data,2022-07-01,24065,share_yellow_sessions,0.343639228042536
53,no_transfer_data,2022-08-01,36929,share_yellow_sessions,0.507342249349251
54,no_transfer_data,2022-09-01,33216,share_yellow_sessions,0.444023955943912
55,no_transfer_data,2022-10-01,15795,share_yellow_sessions,0.418191014077383
56,total,2022-07-01,27006,share_yellow_sessions,0.155362976252941
57,total,2022-08-01,41039,share_yellow_sessions,0.314778858731197
58,total,2022-09-01,35312,share_yellow_sessions,0.326219798227454
59,total,2022-10-01,16562,share_yellow_sessions,0.307266970881579
60,transfer_data,2022-01-01,2381,share_yellow_users,0.0622255906334936
61,transfer_data,2022-02-01,4415,share_yellow_users,0.0806215989189584
62,transfer_data,2022-03-01,7120,share_yellow_users,0.107408468976753
63,transfer_data,2022-04-01,3748,share_yellow_users,0.0647334150848892
64,transfer_data,2022-05-01,2461,share_yellow_users,0.0503972804718218
65,transfer_data,2022-06-01,2415,share_yellow_users,0.0455230914231857
66,no_transfer_data,2022-01-01,24104,share_yellow_users,0.489918699186992
67,no_transfer_data,2022-02-01,40455,share_yellow_users,0.518474374255066
68,no_transfer_data,2022-03-01,50808,share_yellow_users,0.534056508577195
69,no_transfer_data,2022-04-01,33097,share_yellow_users,0.475087920763655
70,no_transfer_data,2022-05-01,26927,share_yellow_users,0.488250226654578
71,no_transfer_data,2022-06-01,23608,share_yellow_users,0.421639192013002
72,total,2022-01-01,26485,share_yellow_users,0.302810299094485
73,total,2022-02-01,44870,share_yellow_users,0.337904495101251
74,total,2022-03-01,57928,share_yellow_users,0.35885395694595
75,total,2022-04-01,36845,share_yellow_users,0.288835408108871
76,total,2022-05-01,29388,share_yellow_users,0.282625839087534
77,total,2022-06-01,26023,share_yellow_users,0.238653350574555
78,transfer_data,2022-07-01,2941,share_yellow_users,0.07238315571854
79,transfer_data,2022-08-01,4110,share_yellow_users,0.121857210626186
80,transfer_data,2022-09-01,2096,share_yellow_users,0.0866437931462114
81,transfer_data,2022-10-01,767,share_yellow_users,0.0606132448237711
82,no_transfer_data,2022-07-01,24065,share_yellow_users,0.477679191726712
83,no_transfer_data,2022-08-01,36929,share_yellow_users,0.596977044940188
84,no_transfer_data,2022-09-01,33216,share_yellow_users,0.556950988447157
85,no_transfer_data,2022-10-01,15795,share_yellow_users,0.518906665790598
86,total,2022-07-01,27006,share_yellow_users,0.296736622349192
87,total,2022-08-01,41039,share_yellow_users,0.429332133740637
88,total,2022-09-01,35312,share_yellow_users,0.421233448646069
89,total,2022-10-01,16562,share_yellow_users,0.384331561970622
