program_product_cd,country_nm,mnth,users
MPL,South Sudan,2022-07-01,48
MPL,Congo,2022-09-01,37
MPL,Azerbaijan,2022-08-01,13194
MPL,Saint Lucia,2022-07-01,3
MPL,Colombia,2022-09-01,771
SMB,New Zealand,2022-09-01,14
SMB,South Africa,2022-07-01,1046
SMB,United Arab Emirates,2022-07-01,1300
SMB,Uganda,2022-08-01,18
MPL,Guinea,2022-09-01,123
MPL,Rwanda,2022-08-01,22
SMB,Australia,2022-07-01,357
SMB,Latvia,2022-09-01,2347
MPL,Puerto Rico,2022-08-01,33
MPL,Peru,2022-09-01,240
MPL,Cuba,2022-06-01,128
MPL,Syria,2022-07-01,516
MPL,Nigeria,2022-09-01,262
SMB,Seychelles,2022-08-01,45
MPL,Dominica,2022-06-01,1
SMB,Syria,2022-06-01,5
SMB,Cuba,2022-07-01,4
MPL,Cameroon,2022-06-01,29
MPL,Sweden,2022-08-01,345034
SMB,Maldives,2022-09-01,406
MPL,Greece,2022-08-01,6863
SMB,Cape Verde,2022-08-01,2
MPL,Yemen,2022-06-01,16
MPL,Portugal,2022-07-01,3930
MPL,Jordan,2022-09-01,1137
SMB,Ireland,2022-08-01,508
MPL,Turks and Caicos Islands,2022-09-01,1
MPL,Swaziland,2022-07-01,1
SMB,Yemen,2022-07-01,1
SMB,Jersey,2022-06-01,5
MPL,Indonesia,2022-09-01,8142
SMB,Paraguay,2022-08-01,4
MPL,St. Vincent & Grenadines,2022-09-01,5
MPL,Jersey,2022-07-01,51
SMB,?land Islands,2022-07-01,1
MPL,Gambia,2022-06-01,4
MPL,Grenada,2022-07-01,1
SMB,Dominican Republic,2022-07-01,24
SMB,Czechia,2022-07-01,1
MPL,Lithuania,2022-08-01,21548
MPL,Bosnia and Herzegovina,2022-07-01,363
MPL,Nepal,2022-08-01,149
SMB,Hong Kong,2022-07-01,202
SMB,Guatemala,2022-08-01,1
MPL,Kyrgyzstan,2022-07-01,19791
SMB,China,2022-09-01,76
SMB,Costa Rica,2022-08-01,14
SMB,Finland,2022-09-01,8460
MPL,Cayman Islands,2022-08-01,9
MPL,Singapore,2022-09-01,34380
SMB,Hungary,2022-09-01,405
MPL,Czech Republic,2022-08-01,24076
SMB,Uzbekistan,2022-07-01,838
SMB,Belize,2022-06-01,4
SMB,Turkey,2022-08-01,7574
SMB,Albania,2022-06-01,76
MPL,R?union,2022-08-01,7
MPL,Thailand,2022-09-01,11322
SMB,Bahrain,2022-08-01,8
SMB,Venezuela,2022-08-01,11
MPL,Bahamas,2022-08-01,89
MPL,Guam,2022-09-01,13
MPL,U.S. Virgin Islands,2022-07-01,4
MPL,Namibia,2022-06-01,41
MPL,Albania,2022-07-01,839
MPL,Greenland,2022-07-01,19
MPL,United Kingdom,2022-07-01,431745
MPL,Belize,2022-07-01,39
SMB,Italy,2022-08-01,1918
MPL,Gibraltar,2022-06-01,52
SMB,San Marino,2022-06-01,3
SMB,South Korea,2022-08-01,232
MPL,Tunisia,2022-06-01,226
MPL,Jamaica,2022-07-01,47
SMB,Tajikistan,2022-09-01,405
MPL,Oman,2022-09-01,841
SMB,Afghanistan,2022-07-01,6
SMB,Belgium,2022-08-01,1726
SMB,Tunisia,2022-07-01,11
SMB,Jamaica,2022-06-01,2
MPL,Ukraine,2022-08-01,258399
SMB,India,2022-07-01,498
SMB,Bolivia,2022-09-01,2
MPL,Senegal,2022-06-01,42
SMB,Bulgaria,2022-08-01,1478
MPL,Mauritius,2022-06-01,194
SMB,Monaco,2022-08-01,21
SMB,Saudi Arabia,2022-07-01,964
MPL,India,2022-06-01,8213
SMB,Senegal,2022-07-01,1
SMB,Malaysia,2022-06-01,106
SMB,Ivory Coast,2022-08-01,1
SMB,Libya,2022-08-01,2
MPL,Belarus,2022-07-01,69093
SMB,Croatia,2022-08-01,163
SMB,Colombia,2022-08-01,21
SMB,Denmark,2022-07-01,1295
MPL,Benin,2022-07-01,23
SMB,Taiwan,2022-09-01,25
MPL,Ivory Coast,2022-09-01,57
MPL,Equatorial Guinea,2022-08-01,43
SMB,Benin,2022-06-01,1
MPL,Austria,2022-08-01,27529
MPL,Liechtenstein,2022-06-01,66
SMB,Belarus,2022-06-01,2114
MPL,Denmark,2022-06-01,16567
MPL,Mozambique,2022-07-01,31
MPL,South Korea,2022-09-01,8859
SMB,Chile,2022-09-01,21
MPL,Ecuador,2022-06-01,303
MPL,Vanuatu,2022-09-01,1
MPL,French Guiana,2022-09-01,6
MPL,Zambia,2022-08-01,78
MPL,Tajikistan,2022-08-01,12199
MPL,Saint Barth?lemy,2022-07-01,2
MPL,Serbia,2022-07-01,16603
SMB,Serbia,2022-06-01,1156
SMB,Mexico,2022-08-01,127
SMB,Ecuador,2022-07-01,5
SMB,Iran,2022-08-01,11
SMB,Malta,2022-09-01,18
SMB,Vietnam,2022-08-01,115
MPL,Botswana,2022-06-01,13
MPL,Maldives,2022-08-01,4324
SMB,Togo,2022-09-01,1
MPL,North Korea,2022-08-01,1
MPL,United States,2022-07-01,514195
MPL,Gabon,2022-08-01,24
SMB,Fiji,2022-07-01,1
SMB,Kuwait,2022-07-01,2
MPL,Netherlands,2022-07-01,792810
MPL,Fiji,2022-06-01,5
MPL,Venezuela,2022-09-01,248
MPL,Algeria,2022-09-01,507
SMB,Iraq,2022-08-01,2
MPL,Kuwait,2022-06-01,90
MPL,Samoa,2022-08-01,1
SMB,Luxembourg,2022-07-01,635
MPL,Guatemala,2022-09-01,47
MPL,Panama,2022-07-01,253
MPL,Paraguay,2022-09-01,69
MPL,Macedonia,2022-06-01,525
MPL,Costa Rica,2022-09-01,236
SMB,Brazil,2022-09-01,127
SMB,Panama,2022-06-01,11
SMB,Czech Republic,2022-09-01,711
MPL,Comoros,2022-09-01,2
SMB,Ghana,2022-08-01,2
SMB,Singapore,2022-08-01,2407
SMB,Cayman Islands,2022-09-01,1
MPL,Thailand,2022-08-01,9802
SMB,Cape Verde,2022-09-01,1
MPL,Cura?ao,2022-06-01,5
MPL,Greece,2022-09-01,5464
MPL,New Caledonia,2022-06-01,1
MPL,Jordan,2022-08-01,1143
MPL,U.S. Outlying Islands,2022-08-01,1
SMB,Ireland,2022-09-01,182
MPL,Mauritania,2022-07-01,37
MPL,French Polynesia,2022-06-01,7
MPL,Congo (DRC),2022-06-01,36
SMB,Madagascar,2022-07-01,2
SMB,Macau,2022-06-01,1
MPL,British Virgin Islands,2022-06-01,10
MPL,Indonesia,2022-08-01,8171
SMB,Isle of Man,2022-07-01,9
MPL,Macau,2022-07-01,24
MPL,Lithuania,2022-09-01,21147
MPL,Azerbaijan,2022-09-01,15834
SMB,Bulgaria,2022-09-01,1030
MPL,Suriname,2022-07-01,6
SMB,New Zealand,2022-08-01,24
MPL,Congo,2022-08-01,47
MPL,Peru,2022-08-01,272
MPL,Puerto Rico,2022-09-01,10
MPL,Slovenia,2022-06-01,1162
SMB,South Sudan,2022-07-01,2
MPL,Guinea,2022-08-01,119
SMB,Uganda,2022-09-01,61
MPL,Rwanda,2022-09-01,15
SMB,Latvia,2022-08-01,3094
SMB,Russia,2022-06-01,553599
MPL,Andorra,2022-07-01,325
SMB,Romania,2022-06-01,977
SMB,Pakistan,2022-06-01,10
MPL,Nigeria,2022-08-01,345
SMB,Andorra,2022-06-01,41
MPL,Sweden,2022-09-01,252143
MPL,Romania,2022-07-01,16992
MPL,Russia,2022-07-01,15837005
SMB,Seychelles,2022-09-01,50
SMB,Qatar,2022-09-01,38
MPL,Burkina Faso,2022-09-01,16
MPL,Seychelles,2022-08-01,835
SMB,Moldova,2022-08-01,388
SMB,Antigua and Barbuda,2022-08-01,1
SMB,Aruba,2022-08-01,2
SMB,Cameroon,2022-06-01,1
SMB,Japan,2022-06-01,2830
MPL,Morocco,2022-07-01,1105
SMB,Colombia,2022-09-01,28
MPL,Bermuda,2022-06-01,8
SMB,Azerbaijan,2022-08-01,622
MPL,Iceland,2022-09-01,432
MPL,New Zealand,2022-09-01,536
SMB,Bermuda,2022-07-01,1
MPL,Australia,2022-07-01,6419
SMB,Egypt,2022-09-01,565
MPL,Haiti,2022-07-01,4
MPL,Japan,2022-07-01,59757
MPL,Guadeloupe,2022-08-01,3
SMB,Morocco,2022-06-01,24
MPL,South Africa,2022-07-01,19553
SMB,Puerto Rico,2022-08-01,2
MPL,Germany,2022-08-01,1061534
MPL,Paraguay,2022-08-01,62
SMB,Indonesia,2022-09-01,656
MPL,Kosovo,2022-08-01,9
SMB,Poland,2022-08-01,6689
MPL,?land Islands,2022-07-01,13
SMB,Canada,2022-09-01,1223
SMB,Estonia,2022-09-01,1716
SMB,Lithuania,2022-08-01,789
MPL,Maldives,2022-09-01,4273
MPL,Georgia,2022-07-01,47704
SMB,Portugal,2022-07-01,401
MPL,Cape Verde,2022-08-01,8
SMB,Georgia,2022-06-01,3026
MPL,Gabon,2022-09-01,22
SMB,Thailand,2022-09-01,719
SMB,Togo,2022-08-01,1
MPL,Uzbekistan,2022-07-01,20556
MPL,Norway,2022-06-01,19624
SMB,United Kingdom,2022-07-01,20839
SMB,Greenland,2022-07-01,1
MPL,San Marino,2022-06-01,7
MPL,Algeria,2022-08-01,593
SMB,Iraq,2022-09-01,12
MPL,Venezuela,2022-08-01,269
SMB,Gibraltar,2022-06-01,6
MPL,Honduras,2022-08-01,33
SMB,Norway,2022-07-01,1076
MPL,Saint Kitts and Nevis,2022-06-01,6
MPL,Hong Kong,2022-07-01,3797
MPL,Israel,2022-07-01,15348
SMB,Kyrgyzstan,2022-07-01,1200
MPL,Sint Maarten,2022-06-01,7
MPL,Guatemala,2022-08-01,57
MPL,Costa Rica,2022-08-01,264
SMB,Singapore,2022-09-01,1273
SMB,Ghana,2022-09-01,6
SMB,Czech Republic,2022-08-01,830
MPL,Comoros,2022-08-01,4
SMB,Brazil,2022-08-01,101
SMB,Israel,2022-06-01,1021
SMB,Taiwan,2022-08-01,19
SMB,Croatia,2022-09-01,139
MPL,Djibouti,2022-06-01,10
MPL,Bulgaria,2022-08-01,33622
SMB,Mauritius,2022-06-01,20
SMB,Kenya,2022-07-01,14
MPL,Malaysia,2022-06-01,1742
MPL,Saudi Arabia,2022-07-01,18561
MPL,Trinidad and Tobago,2022-07-01,17
MPL,Chad,2022-07-01,8
MPL,Austria,2022-09-01,25222
MPL,Ivory Coast,2022-08-01,87
MPL,Kenya,2022-06-01,110
MPL,Equatorial Guinea,2022-09-01,28
MPL,Tajikistan,2022-09-01,11074
MPL,Zambia,2022-09-01,47
MPL,South Korea,2022-08-01,9862
MPL,French Guiana,2022-08-01,8
SMB,Chile,2022-08-01,18
MPL,Afghanistan,2022-07-01,57
SMB,Vietnam,2022-09-01,144
MPL,Somalia,2022-07-01,16
SMB,Malta,2022-08-01,24
SMB,Mexico,2022-09-01,119
MPL,S?o Tom? and Pr?ncipe,2022-06-01,1
SMB,Tajikistan,2022-08-01,353
MPL,Oman,2022-08-01,227
SMB,South Korea,2022-09-01,234
SMB,Belgium,2022-09-01,1780
SMB,Botswana,2022-06-01,0
MPL,Caribbean Netherlands,2022-08-01,1
SMB,Armenia,2022-07-01,2090
MPL,Bhutan,2022-07-01,3
SMB,Bolivia,2022-08-01,1
MPL,Ukraine,2022-09-01,158052
MPL,Colombia,2022-08-01,908
SMB,Spain,2022-06-01,2245
MPL,Spain,2022-07-01,33682
SMB,Liechtenstein,2022-06-01,4
SMB,Ivory Coast,2022-09-01,5
SMB,Bhutan,2022-06-01,2
SMB,Monaco,2022-09-01,13
MPL,Falkland Islands,2022-07-01,1
MPL,Armenia,2022-06-01,28003
SMB,Libya,2022-09-01,1
MPL,Luxembourg,2022-07-01,14212
MPL,Nepal,2022-09-01,181
SMB,Guatemala,2022-09-01,1
SMB,Macedonia,2022-06-01,44
SMB,Paraguay,2022-09-01,3
SMB,Laos,2022-06-01,4
SMB,China,2022-08-01,62
SMB,Hungary,2022-08-01,469
MPL,St. Vincent & Grenadines,2022-08-01,5
MPL,Cayman Islands,2022-09-01,11
SMB,Finland,2022-08-01,7900
SMB,Costa Rica,2022-09-01,6
MPL,Laos,2022-07-01,44
MPL,Singapore,2022-08-01,74909
MPL,Czech Republic,2022-09-01,18835
MPL,Guernsey,2022-07-01,5
SMB,Maldives,2022-08-01,364
MPL,Solomon Islands,2022-08-01,1
MPL,R?union,2022-09-01,8
SMB,Turkey,2022-09-01,8882
SMB,United States,2022-07-01,25979
MPL,Bahamas,2022-09-01,65
SMB,Italy,2022-09-01,1892
SMB,Netherlands,2022-07-01,40493
MPL,Guam,2022-08-01,16
SMB,Bahrain,2022-09-01,11
SMB,Venezuela,2022-09-01,11
MPL,Malta,2022-07-01,486
SMB,Chile,2022-06-01,25
MPL,Ecuador,2022-09-01,364
MPL,French Guiana,2022-06-01,12
SMB,Myanmar (Burma),2022-07-01,1
MPL,South Korea,2022-06-01,6302
MPL,S?o Tom? and Pr?ncipe,2022-08-01,1
MPL,Chile,2022-07-01,458
SMB,Argentina,2022-07-01,119
SMB,Serbia,2022-09-01,654
SMB,Malta,2022-06-01,33
SMB,Mauritius,2022-08-01,18
SMB,Taiwan,2022-06-01,26
MPL,Palestine,2022-07-01,90
MPL,Falkland Islands,2022-08-01,1
SMB,Belarus,2022-09-01,1882
MPL,Ivory Coast,2022-06-01,54
MPL,Denmark,2022-09-01,13993
MPL,Kenya,2022-08-01,260
MPL,Colombia,2022-07-01,702
MPL,Liechtenstein,2022-09-01,74
MPL,Taiwan,2022-07-01,437
MPL,Macedonia,2022-09-01,825
MPL,St. Vincent & Grenadines,2022-07-01,4
MPL,Sint Maarten,2022-08-01,7
MPL,Saint Kitts and Nevis,2022-08-01,6
MPL,Brazil,2022-07-01,2706
MPL,Guatemala,2022-06-01,61
SMB,Brazil,2022-06-01,155
SMB,Panama,2022-09-01,11
SMB,Czech Republic,2022-06-01,1071
MPL,Comoros,2022-06-01,4
MPL,Costa Rica,2022-06-01,240
SMB,Israel,2022-08-01,796
SMB,Algeria,2022-07-01,10
MPL,Norway,2022-08-01,23165
MPL,Turks and Caicos Islands,2022-07-01,3
SMB,Togo,2022-06-01,1
SMB,Maldives,2022-07-01,413
MPL,Algeria,2022-06-01,447
MPL,Portugal,2022-09-01,5357
SMB,Gibraltar,2022-08-01,6
MPL,San Marino,2022-08-01,18
MPL,Venezuela,2022-06-01,250
MPL,Kuwait,2022-09-01,101
MPL,Guernsey,2022-08-01,8
MPL,Togo,2022-07-01,35
MPL,Bangladesh,2022-07-01,900
MPL,Fiji,2022-09-01,7
MPL,Honduras,2022-07-01,24
SMB,Belize,2022-09-01,2
MPL,Solomon Islands,2022-06-01,2
SMB,Albania,2022-09-01,43
MPL,Guam,2022-06-01,14
MPL,Namibia,2022-09-01,73
SMB,San Marino,2022-09-01,3
MPL,Gibraltar,2022-09-01,50
MPL,Hungary,2022-07-01,7293
MPL,Finland,2022-07-01,205447
SMB,Macedonia,2022-08-01,47
MPL,China,2022-07-01,1439
SMB,Laos,2022-08-01,2
SMB,Hungary,2022-06-01,470
SMB,China,2022-06-01,62
SMB,Finland,2022-06-01,11761
MPL,Singapore,2022-06-01,55309
MPL,Sierra Leone,2022-07-01,5
MPL,Mauritius,2022-09-01,269
SMB,Bolivia,2022-06-01,5
SMB,Spain,2022-08-01,1902
MPL,Senegal,2022-09-01,46
MPL,Caribbean Netherlands,2022-06-01,1
SMB,Bhutan,2022-08-01,1
MPL,Bolivia,2022-07-01,79
MPL,Bulgaria,2022-07-01,29799
MPL,Armenia,2022-08-01,38030
MPL,India,2022-09-01,15319
SMB,Liechtenstein,2022-08-01,1
MPL,Oman,2022-06-01,98
MPL,Tunisia,2022-09-01,552
SMB,Tajikistan,2022-06-01,285
SMB,Jamaica,2022-09-01,2
SMB,Oman,2022-07-01,7
MPL,Martinique,2022-07-01,7
SMB,Romania,2022-08-01,702
MPL,Nigeria,2022-06-01,291
MPL,Tanzania,2022-06-01,120
SMB,Russia,2022-08-01,511609
MPL,Central African Republic,2022-06-01,53
MPL,Dominican Republic,2022-07-01,391
MPL,Papua New Guinea,2022-06-01,7
SMB,Bosnia and Herzegovina,2022-07-01,14
SMB,Andorra,2022-08-01,25
SMB,Nigeria,2022-07-01,11
SMB,Guinea,2022-07-01,2
MPL,Ethiopia,2022-06-01,51
SMB,Mongolia,2022-06-01,53
MPL,Latvia,2022-07-01,63697
MPL,Congo,2022-06-01,23
SMB,New Zealand,2022-06-01,20
SMB,Peru,2022-07-01,15
MPL,Guinea,2022-06-01,101
SMB,Latvia,2022-06-01,3900
MPL,Peru,2022-06-01,275
SMB,Congo,2022-07-01,1
MPL,Indonesia,2022-06-01,7891
SMB,Macau,2022-08-01,2
MPL,British Virgin Islands,2022-08-01,28
MPL,Nicaragua,2022-07-01,36
MPL,Congo (DRC),2022-08-01,91
SMB,Switzerland,2022-07-01,2402
MPL,Gambia,2022-09-01,2
MPL,Paraguay,2022-07-01,63
SMB,Jordan,2022-07-01,23
MPL,Philippines,2022-07-01,908
MPL,Cura?ao,2022-08-01,5
MPL,New Caledonia,2022-08-01,2
MPL,Yemen,2022-09-01,27
SMB,Sri Lanka,2022-07-01,72
MPL,Jordan,2022-06-01,392
SMB,Portugal,2022-08-01,305
SMB,Guernsey,2022-09-01,1
MPL,United Arab Emirates,2022-07-01,16813
MPL,Cape Verde,2022-06-01,5
SMB,Georgia,2022-08-01,2722
SMB,Slovakia,2022-06-01,486
MPL,Angola,2022-09-01,133
MPL,Thailand,2022-07-01,8952
MPL,Kosovo,2022-06-01,8
SMB,Congo (DRC),2022-09-01,1
MPL,Poland,2022-07-01,174944
MPL,Germany,2022-06-01,646381
MPL,France,2022-09-01,467998
SMB,Poland,2022-06-01,8050
MPL,Kazakhstan,2022-07-01,57341
MPL,Antigua and Barbuda,2022-09-01,40
SMB,Lithuania,2022-06-01,940
SMB,Germany,2022-07-01,39557
SMB,Kosovo,2022-07-01,2
MPL,Bermuda,2022-08-01,8
MPL,Turkmenistan,2022-07-01,31
SMB,Japan,2022-08-01,1909
SMB,Azerbaijan,2022-06-01,439
MPL,Suriname,2022-08-01,5
SMB,Puerto Rico,2022-06-01,7
SMB,Uruguay,2022-09-01,9
MPL,Niger,2022-07-01,5
MPL,Brunei,2022-09-01,21
SMB,Morocco,2022-08-01,16
MPL,Guadeloupe,2022-06-01,2
SMB,Montenegro,2022-07-01,596
MPL,Moldova,2022-07-01,7217
MPL,Aruba,2022-07-01,4
MPL,Cyprus,2022-09-01,12487
SMB,Antigua and Barbuda,2022-06-01,6
MPL,Seychelles,2022-06-01,595
SMB,Cambodia,2022-06-01,7
MPL,East Timor,2022-07-01,1
MPL,Lebanon,2022-09-01,280
SMB,Moldova,2022-06-01,349
